Published date,Positive_Count,Negative_Count,Neutral_Count,Total,Positive_Percentage,Negative_Percentage,Neutral_Percentage
2021-01-29,0,0,10,10,0,0,100
2021-01-30,1,2,3,6,16.66666667,33.33333333,50
2021-01-31,3,2,2,7,42.85714286,28.57142857,28.57142857
2021-02-01,3,1,5,9,33.33333333,11.11111111,55.55555556
2021-02-02,2,0,8,10,20,0,80
2021-02-03,3,0,7,10,30,0,70
2021-02-04,3,3,4,10,30,30,40
2021-02-05,2,5,3,10,20,50,30
2021-02-06,2,1,6,9,22.22222222,11.11111111,66.66666667
2021-02-07,5,2,2,9,55.55555556,22.22222222,22.22222222
2021-02-08,2,1,7,10,20,10,70
2021-02-09,4,1,5,10,40,10,50
2021-02-10,4,1,5,10,40,10,50
2021-02-11,7,2,1,10,70,20,10
2021-02-12,2,1,7,10,20,10,70
2021-02-13,3,3,3,9,33.33333333,33.33333333,33.33333333
2021-02-14,3,1,4,8,37.5,12.5,50
2021-02-15,2,2,6,10,20,20,60
2021-02-16,3,2,3,8,37.5,25,37.5
2021-02-17,2,2,6,10,20,20,60
2021-02-18,6,1,3,10,60,10,30
2021-02-19,3,0,6,9,33.33333333,0,66.66666667
2021-02-20,5,0,4,9,55.55555556,0,44.44444444
2021-02-21,3,0,5,8,37.5,0,62.5
2021-02-22,2,2,6,10,20,20,60
2021-02-23,4,3,2,9,44.44444444,33.33333333,22.22222222
2021-02-24,5,2,3,10,50,20,30
2021-02-25,4,2,4,10,40,20,40
2021-02-26,2,2,5,9,22.22222222,22.22222222,55.55555556
2021-02-27,4,0,3,7,57.14285714,0,42.85714286
2021-02-28,4,1,1,6,66.66666667,16.66666667,16.66666667
2021-03-01,1,3,6,10,10,30,60
2021-03-02,3,1,6,10,30,10,60
2021-03-03,3,2,5,10,30,20,50
2021-03-04,1,3,6,10,10,30,60
2021-03-05,3,1,5,9,33.33333333,11.11111111,55.55555556
2021-03-06,3,1,2,6,50,16.66666667,33.33333333
2021-03-07,0,1,4,5,0,20,80
2021-03-08,4,0,6,10,40,0,60
2021-03-09,2,2,6,10,20,20,60
2021-03-10,2,4,4,10,20,40,40
